ID	PREBinRA	INEBinRA	POSTBinRA	Phylum	HeS1	HoS1	DL1	HD1	DR1	HeS2	HoS2	DL2	HD2	DR2	HeS3	HoS3	DL3	HD3	DR3
Bin24	0.001586601	0.001741919	0.036067	SAR_d__Eukaryota	0	0	0	0.235539757	0.764460243	0	0	0	0.188434413951862	0.811565586048138	0	0.151017504	0.730961454	0	0.118021042
Bin26	0.009419354	0.008904333	0.002742783	norank_d__Eukaryota	0	0.024812322	0.508281663	0.000226753	0.466679261	0	0.0035438854898245	0.694999543532367	0	0.301456570977808	0	0	0.21136978	0.014295234	0.774334985
Bin27	0.008479532	0.000662103	0.000126052	SAR_d__Eukaryota	0	0.048953209	0.824723238	0.001002251	0.125321301	0	0	0	0.0825901302549607	0.917409869745039	0	0.251876385	0	0.288593409	0.459530206
Bin28	0.165810088	0.226082252	0.035612139	SAR_d__Eukaryota	0	0	0.038915415	0.006600942	0.954483643	0	0.162604095301019	0.109188911442466	0.000265413293376874	0.727941579963138	0	0.078200977	0	0.074321492	0.847477531
Bin29	0.000777298	0.000501949	0.002223875	others	0	0.258483443	0.151213257	0.001033986	0.589269313	0	0.00135900330217845	0	0.00776186487560388	0.990879131822218	0.000605649	0.098904381	0.868958589	0.007885181	0.0236462
Bin30	0.003741371	0.001473898	0.00155948	SAR_d__Eukaryota	0	0.211110383	0.597338797	0.016854965	0.174695855	0	0.133490030396487	0	0.0250529407188439	0.841457028884669	0	0.516245703	0.138986003	0.02669493	0.318073364
Bin1	0.001644461	0.007141021	0.000552192	others	0	0.090127562	0.130357596	0	0.779514843	0	0.159438827612771	0.784507391287251	0	0.0560537810999772	0	0.156178597	0	0.016106771	0.827714632
Bin2	0.010057067	0.025187876	0.051015104	SAR_d__Eukaryota	0	0	0	0.073114664	0.926885336	0	0	0.238014473876987	0.00750545103595906	0.754480075087054	0.000752703	0.453170406	0.544629516	0.001447374	0
Bin3	0.001881044	0.000584731	0.001346115	SAR_d__Eukaryota	0.018538035	0.336485737	0.391732216	0	0.253244012	0.0339571414105541	0.211274445553759	0.231310832085518	0.00530294496234683	0.518154635987822	0.072277197	0	0.723302233	0.018587445	0.185833126
Bin5	0.005993538	0.003406887	0.000283973	unclassified_d__Eukaryota	0	0.039225868	0.783878265	0	0.176895867	0	0.0283606889419602	0.557222722865515	0	0.414416588192524	0.015119132	0.198159031	0	0.754126494	0.032595343
Bin6	0.000990254	0.000891728	0.000364771	SAR_d__Eukaryota	0	0.040997513	0.565880028	0	0.393122459	0	0.00246236965562457	0.886089117583495	0	0.111448512760881	0	0	0.421302585	0.001226065	0.577471351
Bin32	0.008105152	0.014606359	0.036135202	norank_k__Chloroplastida	0	0	0	0.146414078	0.853585922	0.534019466309286	0.02962478232988	0.20378564668456	0.0361716626896257	0.196398441986648	0	0.789975576	0.188380905	0	0.021643519
Bin31	0.004895571	0.01360408	0.050314935	norank_k__Chloroplastida	0	0.655169965	0	0.078082646	0.266747389	0	0.556599078311816	0	0	0.443400921688184	0	0.094938171	0.634667483	0	0.270394346
Bin33	0.003191361	0.004458467	0.018603373	norank_k__Chloroplastida	0	0.012254486	0	0.147788501	0.839957014	0	0.108686997346034	0	0.151502394416585	0.739810608237382	0	0	0.627106657	0	0.372893343
Bin34	0.002765073	0.004639473	0.000577885	SAR_d__Eukaryota	0	0	0.037678504	0.017055866	0.94526563	0	0.0947911890267911	0.720583490847369	0.00669868292109156	0.177926637204748	0	0.149111155	0	0.084502448	0.766386396
Bin35	0.007986904	0.006378305	0.000740707	norank_k__Cryptophyceae	0	0.661415143	0.057290145	0	0.281294712	0	0.286667940469935	0.151058661208067	0.00304323276857871	0.559230165553419	0.037677337	0.189348896	0	0.389274302	0.383699464
Bin36	0.005682703	0.000336715	0.00229007	SAR_d__Eukaryota	0.075129002	0.157112961	0.720380418	0	0.047377619	0.0335240164722095	0.0632903332578479	0	0.0110861430128379	0.892099507257105	0.031442594	0.00308044	0.658031622	0.000194835	0.307250509
Bin37	0.06733894	0.071108228	0.039030962	norank_k__Cryptophyceae	0	0.790318728	0	0	0.209681272	0	0.377358272900523	0.515068474906813	0	0.107573252192665	0	0.68473712	0.20306884	0.009920898	0.102273142
Bin38	0.034189699	0.024133642	0.015450554	Kathablepharidae	0	0	0.030328426	0.024910449	0.944761125	0	0	0	0.0287408427614919	0.971259157238508	0.162629932	5.49E-05	0.51002633	0.011896763	0.315392079
Bin71	0.001175863	0.000869072	0.002329721	SAR_d__Eukaryota	0	0	0.061314692	0	0.938685308	0.0946040646848596	0.483918913111641	0.0853716263947806	0.030666561898467	0.305438833910252	0	0.076212746	0.687427688	0	0.236359566
Bin72	0.000914391	0.000292153	0.000381173	SAR_d__Eukaryota	0.006349728	0	0.88728434	0.003950603	0.102415329	0.035132112276325	0.046283734406221	0.403373192582037	0.000280757542126377	0.51493020319329	0.011465994	0.342660329	0.266879823	0.006819001	0.372174853
Bin73	0.041818346	0.016758489	0.002243939	SAR_d__Eukaryota	0	0.675779951	0.092212928	0	0.232007121	0	0	0.754308022198393	0.0494809461196684	0.196211031681938	0.000692205	0.143140023	0	0.482005445	0.374162327
Bin74	0.000773639	0.003420463	0.014528405	unclassified_d__Eukaryota	0	0	0	0.084249281	0.915750719	0	0	0.298327421351872	0.00527725097336367	0.696395327674765	0	0.801217591	0.167787759	0.001330123	0.029664526
Bin75	0.000297998	0.000103866	0.000434744	SAR_d__Eukaryota	0	0	0.630608848	0.017110208	0.352280943	0	0	0	0.047192490010437	0.952807509989563	0	0.00901735	0.844503889	0.000226503	0.146252258
Bin76	0.000761186	0.002400186	0.000831871	unclassified_d__Eukaryota	0	0	0.254748661	0.02748452	0.71776682	0.00391317317620447	0.0357813593166387	0.801326392280017	0.00471836842770805	0.154260706799432	0	0.272325681	0.136840316	0.010171058	0.580662945
Bin77	0.032033289	0.000996006	0.000810021	others	0.14563936	0.568776716	0.254465024	0	0.031118901	0	0.179233313560317	0	0	0.820766686439683	0.079881524	0.003928983	0	0.032958596	0.883230897
Bin78	0.000327369	0.000321374	0.000211735	SAR_d__Eukaryota	0	0.075067069	0.547292781	0.000947756	0.376692394	0.029217221083372	0.127564381138706	0.58996235997037	0.00297662877835646	0.250279409029195	0	0	0.394210256	0.005647604	0.60014214
Bin68	0.011314296	0.004658993	0.013361511	norank_d__Eukaryota	0	0.426555182	0.473469376	0.005607198	0.094368245	0	0.405326403185171	0	0.0115981939894145	0.583075402825414	0	0.567185076	0.270430677	0	0.162384247
Bin69	0.000821667	7.90E-05	0.000464218	SAR_d__Eukaryota	0	0.135683816	0.759605112	0.003459171	0.101251901	0	0.00512291556684445	0	0.0943847732062235	0.900492311226932	0.087367569	0.128340121	0.260005219	0.029880084	0.494407006
Bin70	0.014955625	0.06390763	0.012157286	unclassified_d__Eukaryota	0	0.023406226	0	0.111806565	0.86478721	0	0.0964639557990665	0.659422727481639	0.000710906773632991	0.243402409945661	0.124291222	0	0.252015291	0.177115034	0.446578452
Bin58	0.000619891	0.000110304	0.000265022	unclassified_d__Eukaryota	0.052166615	0.064458786	0.170528615	0	0.712845984	0	0.0816247258244447	0	0.00724102746503641	0.911134246710519	0.024671949	0.29225766	0.297373103	0.007427582	0.378269706
Bin59	9.25E-05	0.000402193	0.00144675	Ascomycota	0.05334618	0.349168745	0	0.191648185	0.40583689	0	0.0650473760979361	0.427615338985486	0.0155970501915278	0.49174023472505	0.113518874	0.258659233	0.543209361	0	0.084612532
Bin60	4.78E-05	0.00059157	0.013355674	unclassified_d__Eukaryota	0	0	0	0.080774879	0.919225121	0	0	0	0	1	0.050667819	0.306768943	0.630164034	8.60E-05	0.012313179
Bin61	2.31E-05	2.89E-05	0.000571479	others	0	0.053013577	0	0.034014003	0.91297242	0	0.0223601345254087	0	0	0.977639865474591	0.004040307	0.011619358	0.891900429	0	0.092439906
Bin63	9.82E-05	0.001277246	0.000151359	unclassified_d__Eukaryota	0.004964738	0	0	0.003591183	0.991444079	0.00223355167622456	0.797417376799872	0.159506020555749	0.000118949955126315	0.0407241010130282	0.009834832	0.056853338	0.321459379	0.003545728	0.608306724
Bin64	0.000515697	0.000168834	0.000375051	others	0	0.324582673	0.557523606	0	0.117893722	0.0343471371111003	0.0741164053441274	0.438274869517475	0.0105263534929132	0.442735234534384	0.014495162	0.230957478	0.638678409	0.003128268	0.112740684
Bin62	0.002582616	0.000832752	0.176490354	Mucoromycota	0.117781592	0.007050841	0	0.091621199	0.783546367	0	0.00722654262473157	0	0.677473084883098	0.31530037249217	0	0.205191028	0.749160606	0.000705116	0.044943251
Bin49	0.000321099	7.86E-05	0.002281864	others	0	0.113225499	0	0.03156188	0.85521262	0	0.0080730890579282	0	0.231565854675694	0.760361056266378	0	0.058187794	0.807187699	0	0.134624507
Bin50	0.044608508	0.003465518	0.005444414	unclassified_d__Eukaryota	0	0.737543649	0.15876769	0	0.10368866	0.123333350509134	0.244522051070831	0	0.00379652284157666	0.628348075578458	0	0	0	0.003941596	0.996058404
Bin51	0.013379725	0.000541349	0.002729465	others	0	0.000683928	0.904529449	0.002197386	0.092589238	0.0115430276164232	0.285361580926285	0	0.0743389189949186	0.628756472462373	0	0	0.148089684	0.005928345	0.845981971
Bin52	0.026133859	0.003518834	0.013709135	others	0	0.011751147	0.293491679	0	0.694757174	0	0.379745648964007	0	0.00359110866883438	0.616663242367159	0	0.267104314	0.446753924	0.008257319	0.277884443
Bin53	0.000171749	0.000158745	0.000668863	others	0	0.089419461	0.09605924	0.036361429	0.77815987	0.00786803320124784	0.00909351941437762	0.124930751827413	0.00655291035264798	0.851554785204314	0.027280116	0.047422047	0.77809568	0.001497435	0.145704723
Bin48	0.061909645	0.002170908	0.028581322	norank_k__Chloroplastida	0	0	0.770920581	0.010178712	0.218900707	0.0168561054841025	0.0493323063581234	0	0.226553577454825	0.707258010702949	0.004329412	0.014693842	0.504284815	0.001749867	0.474942064
Bin44	0.003184773	0.003872358	0.003121065	others	0.045995389	0.326595072	0.538495882	0.033374447	0.055539209	0.304813110283763	0	0.384489824209873	0.0252477833515385	0.285449282154826	0	0.644933919	0.154653119	0.061419545	0.138993417
Bin45	0.000253234	0.000478167	0.001668232	Ascomycota	0	0.010543576	0	0.488058384	0.501398041	0	0.448181502218237	0.334286536259971	0.0459193014962129	0.17161266002558	0	0.373695341	0.505883875	0	0.120420784
Bin46	0.008138261	0.050620942	0.107056617	Ascomycota	0	0.325315572	0	0.100221237	0.574463191	0	0.864022060065095	0.108368926083275	0.00507667103051491	0.0225323428211146	0	0.407275059	0.433009194	0	0.159715747
Bin47	0.085446993	0.08086248	0.01395638	Ascomycota	0	0.00043366	0.83654015	0.002818526	0.160207665	0	0.0263135965247184	0.817510815131563	0.00353765578794452	0.152637932555774	0	0.857509828	0	0.013853774	0.128636398
